,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,MA5,MA20,MA60,EMA5,EMA20,EMA60
2018-01-23,25.15,25.53,25.5,24.93,104205.76,0.39,1.55,24.991999999999997,24.45,23.844,92124.92,87064.33,85876.8,2.61,24.68400000000001,22.941499999999998,,24.766998698398957,23.56627071521028,23.17172470471906
2018-01-22,25.14,25.4,25.13,24.75,68292.08,-0.01,-0.04,24.772,24.296,23.644000000000002,91542.85,84861.33,84970.0,1.71,24.956000000000014,23.021499999999996,,24.888015307004867,23.733716838342954,23.295262077761066
2018-01-19,24.6,25.34,25.13,24.42,128449.11,0.53,2.15,24.432,24.254,23.537,91838.07,88985.7,82975.1,3.21,25.084000000000017,23.136999999999997,,24.96868405930866,23.881482601116918,23.40760244534303
2018-01-18,24.4,24.88,24.6,24.3,67435.14,0.01,0.04,24.254,24.191999999999997,23.441,90208.95,96567.41,78252.92,1.69,25.130000000000017,23.252999999999997,,24.845782072102093,23.956725008253024,23.478593356619143
2018-01-17,24.42,24.92,24.6,23.8,92242.51,0.2,0.82,24.068,24.239,23.378,86427.08,102837.01,77049.61,2.31,24.99200000000002,23.386999999999997,,24.763851470108538,24.02345544408154,23.543618354184204
2018-01-16,23.4,24.6,24.4,23.3,101295.42,0.96,4.1,23.908,24.058000000000003,23.320999999999998,82003.73,101081.47,74590.92,2.54,24.77200000000002,23.532999999999994,,24.642564444589485,24.062187352193245,23.5920552925083
2018-01-15,24.01,24.23,23.43,23.3,69768.17,-0.8,-3.3,23.82,23.86,23.256999999999998,78179.81,95219.71,71006.65,1.75,24.432000000000023,23.644999999999996,,24.23836918217409,23.997651639538933,23.58310228733554
2018-01-12,23.7,25.15,24.24,23.42,120303.53,0.56,2.37,24.076,23.748,23.236,86133.33,91838.46,69690.35,3.01,24.254000000000026,23.838999999999995,,24.238912794494787,24.022223142809352,23.618596468123975
2018-01-11,23.67,23.85,23.67,23.21,48525.75,-0.12,-0.5,24.13,23.548000000000002,23.197,102925.87,85432.61,65928.23,1.21,24.068000000000023,23.928499999999996,,24.049273712851107,23.98672984719314,23.621316173956913
2018-01-10,24.1,24.6,23.8,23.4,70125.79,-0.14,-0.58,24.41,23.394000000000002,23.204,119246.95,85508.89,66934.89,1.76,23.908000000000026,24.028499999999998,,23.96618204190311,23.96801670973102,23.63058366304945
2018-01-09,24.6,24.78,23.96,23.82,82175.82,-0.76,-3.07,24.208000000000002,23.237,23.213,120159.21,84689.28,69688.92,2.06,23.82000000000003,24.111999999999995,,23.964121354104282,23.967217293558317,23.647349080588167
2018-01-08,24.12,24.95,24.71,24.01,109535.76,0.2,0.82,23.9,22.991999999999997,23.153000000000002,112259.6,85078.67,67644.48,2.74,24.07600000000003,24.183999999999994,,24.21274814567501,24.040956249351737,23.700470082482212
2018-01-05,24.0,25.4,24.51,23.7,204266.23,-0.56,-2.23,23.42,22.82,23.048000000000002,97543.6,76964.5,64853.8,5.11,24.130000000000027,24.278499999999994,,24.311832250222757,24.08733289585265,23.740253421066758
2018-01-04,22.79,25.07,25.07,22.51,130131.15,2.28,10.0,22.965999999999998,22.69,22.935,67939.35,59938.43,57071.47,3.26,24.41000000000003,24.410999999999994,,24.56455509382231,24.18414191794433,23.804550460744558
